,seaotter,rayAIC,gammaAIC,cauchyAIC,rayAIC.1,gammaAIC.1,cauchyAIC.1,AIC_difference,deltaAIC,,
1,209,383.405545,686.577182,361.8024676,,4,2,-12.85798173,-21.60307737,-324.7747144,0
2,225,312.9397858,2231.279784,310.0524116,3,4,2,-9.392989612,-2.887374172,-1921.227372,0
3,228,219.2693693,1125.40727,182.4250667,3,4,2,-3.879265692,-36.84430264,-942.9822029,0
4,238,557.8733956,940.1572835,406.8844988,3,4,2,-22.78600818,-150.9888968,-533.2727846,0
5,249,242.5148868,345.7355783,249.0872684,2,4,3,-0.495412281,0,-103.2206914,-6.572381553
6,252,231.2464582,403.6343326,230.9622946,3,4,2,-14.19432301,-0.284163596,-172.672038,0
7,269,364.8629791,805.716847,333.1790455,3,4,2,-7.608539074,-31.68393355,-472.5378015,0
8,286,419.6906277,646.2691824,350.1963199,3,4,2,-4.007935947,-69.49430782,-296.0728624,0
9,315,230.1819036,472.6301632,237.9796051,1,4,3,0.362184007,0,-242.4482595,-7.797701437
10,327,476.2596743,1570.875519,430.5317136,3,4,2,-20.72997869,-45.72796066,-1140.343806,0
11,339,240.4238058,273.3353455,236.1365968,3,4,2,-12.90982407,-4.287209012,-37.19874873,0
12,344,478.2460289,549.8317363,444.3461723,3,4,2,-13.33022617,-33.8998566,-105.485564,0
13,353,470.6107156,1618.502634,344.5618304,3,4,2,-17.71950272,-126.0488853,-1273.940804,0
14,386,269.2760325,314.8187408,279.3262101,2,4,3,-3.604876226,0,-45.54270834,-10.05017763
15,433,224.2967851,214.135406,182.5825292,4,3,1,4.31869825,-41.71425587,-31.55287682,0
16,451,194.5671372,211.6560066,185.7310526,3,4,2,-3.397105814,-8.836084537,-25.92495396,0
17,457,247.4351464,425.054407,235.4650908,3,4,2,-17.19591181,-11.97005555,-189.5893162,0
18,466,169.5809122,184.9254185,173.5911693,2,4,3,-4.593807126,0,-15.34450632,-4.010257151
19,473,171.6982762,188.2698794,160.4127321,3,4,2,-14.60034457,-11.28554415,-27.85714734,0
20,475,301.0187158,360.4187462,280.9764826,3,4,2,-21.71183617,-20.04223319,-79.44226363,0
21,501,193.7095713,228.6506586,197.5964268,2,4,3,-5.624524691,0,-34.94108736,-3.886855512
22,518,263.4461134,270.6777685,275.2692906,1,3,4,1.096644804,0,-7.231655051,-11.82317715
23,520,291.7575617,666.687874,300.3965632,2,4,3,-2.123327294,0,-374.9303123,-8.639001545
24,526,193.3913166,283.2717271,166.4516508,3,4,2,-4.493534256,-26.93966586,-116.8200763,0
25,558,284.0136113,428.0919841,286.7560859,2,4,3,-14.68366817,0,-144.0783728,-2.742474639
26,587,409.3347701,655.9246323,420.3997331,2,4,3,-10.3836619,0,-246.5898623,-11.06496299
27,595,788.4554927,3763.079208,606.2202724,3,4,2,-84.63932269,-182.2352203,-3156.858936,0
28,621,704.590969,2086.988392,639.817661,3,4,2,-29.80904331,-64.77330807,-1447.170731,0
29,623,384.339586,600.3226356,373.2757681,3,4,2,-23.26257825,-11.06381791,-227.0468675,0
30,653,132.7594034,154.4087718,130.3258428,2,4,1,4.461327642,-2.433560603,-24.08292902,0
31,657,198.0879554,380.4235373,186.191563,3,4,2,-15.01043858,-11.89639234,-194.2319743,0
32,671,211.5440955,218.9757065,167.9086759,3,4,2,-9.462331248,-43.63541959,-51.0670306,0
33,673,724.5746781,1394.385392,625.7528054,3,4,2,-14.80172632,-98.82187267,-768.6325869,0
34,685,215.1548117,520.8855332,219.5439903,2,4,3,-4.598529839,0,-305.7307214,-4.389178586
35,687,811.224898,1459.723715,761.474682,3,4,2,-46.1182453,-49.75021601,-698.249033,0
36,716,1109.025677,2501.054779,1032.079699,3,4,2,-46.96381431,-76.94597857,-1468.97508,0
37,723,682.3734297,1289.62639,663.4930607,3,4,2,-38.84037679,-18.880369,-626.1333292,0
38,774,423.7733174,1797.147672,388.9070802,3,4,2,-23.00646667,-34.86623725,-1408.240592,0
39,808,720.7552663,1157.462276,664.0581676,3,4,2,-37.29720011,-56.69709863,-493.4041079,0
40,809,367.5075033,1629.084387,328.1855822,3,4,2,-19.03251353,-39.32192112,-1300.898805,0
