"","seaotter","FoodType","prop_foodtype_day_mean","percentlive_mean"
"1","209","Live",0.609458867136384,60.9458867136384
"2","217","Live",0.775007786623018,77.5007786623018
"3","225","Live",0.771884531405583,77.1884531405583
"4","228","Live",0.819758729545816,81.9758729545816
"5","238","Live",0.507414515609175,50.7414515609175
"6","249","Live",0.55834741730187,55.834741730187
"7","252","Live",0.662330507673267,66.2330507673267
"8","269","Live",0.610194740916369,61.0194740916369
"9","286","Live",0.491983605910106,49.1983605910106
"10","315","Live",0.338942438845853,33.8942438845853
"11","327","Live",0.602467108577312,60.2467108577312
"12","339","Live",0.317667923355277,31.7667923355277
"13","344","Live",0.366950194374088,36.6950194374088
"14","353","Live",0.356265657151962,35.6265657151962
"15","379","Live",0.527861566756284,52.7861566756284
"16","386","Live",0.644209810862364,64.4209810862364
"17","433","Live",0.343826009420988,34.3826009420988
"18","451","Live",0.480476629512581,48.0476629512581
"19","457","Live",0.616264082095568,61.6264082095568
"20","466","Live",0.535628976940282,53.5628976940282
"21","473","Live",0.52683016660609,52.683016660609
"22","475","Live",0.472343041973324,47.2343041973324
"23","501","Live",0.455469642308056,45.5469642308056
"24","518","Live",0.412919388209918,41.2919388209918
"25","520","Live",0.457406205275328,45.7406205275328
"26","526","Live",0.52262436649379,52.262436649379
"27","558","Live",0.603296931587766,60.3296931587766
"28","587","Live",0.537906816924446,53.7906816924446
"29","595","Live",0.404955571430894,40.4955571430894
"30","621","Live",0.31259568135681,31.259568135681
"31","623","Live",0.378341378984793,37.8341378984793
"32","653","Live",0.455509467604587,45.5509467604587
"33","657","Live",0.514637349365353,51.4637349365353
"34","671","Live",0.490161199268131,49.0161199268131
"35","673","Live",0.353651686865444,35.3651686865444
"36","685","Live",0.416617457599205,41.6617457599205
"37","687","Live",0.510753329816233,51.0753329816233
"38","716","Live",0.646842028743568,64.6842028743568
"39","723","Live",0.509563260324898,50.9563260324898
"40","774","Live",0.526312557531849,52.6312557531849
"41","808","Live",0.502168934884291,50.2168934884291
"42","809","Live",0.501919367783263,50.1919367783263
